Clinic Name,City,Address,Services,Phone,Website,Notes
VCare Medical Clinic (Southwest Houston),Houston,9644 Court Glen Dr Houston TX 77099,"Primary care, dental, mental health",713-878-3222,https://www.vcareclinics.org,Free or low-cost services for eligible patients
VCare Community Medical Center (Southeast Houston),Houston,8121 Broadway St Suite 103 Houston TX 77061,"Primary care, screenings",713-640-2273,https://www.vcareclinics.org,Walk-ins accepted
VCare Community & Dental Center,Pasadena,1017 Fairmont Pkwy Pasadena TX 77504,Medical and dental services,713-944-2275,https://www.vcareclinics.org,Low-income patients eligible for free care
VCare Medical & Dental Center,Carrollton,1445 Mac Arthur Dr Suite 122 Carrollton TX 75007,"Primary care, dental",972-245-1200,https://www.vcareclinics.org,Serves uninsured patients
Indian Doctors Charity Clinic,Houston,9550 W Bellfort St Suite 215 Houston TX 77031,"Primary care, eye care",713-771-2255,https://www.idcccharityclinic.org,Charity-based non-emergency care
Lone Star Circle of Care (Houston Museum District),Houston,1200 Binz St Houston TX 77004,"Primary care, pediatric, women's health",346-348-1200,https://lonestarcares.org,Sliding scale fees available
Legacy Community Health (Bissonnet),Houston,12667 Bissonnet St Houston TX 77099,"Primary care, dental, behavioral health",281-498-6100,https://www.legacycommunityhealth.org,Low-cost and sliding scale services
HOPE Clinic (Aldine),Houston,3000 Aldine Mail Route Rd Houston TX 77039,"Primary care, chronic disease management",713-773-0803,https://www.hopechc.org,Serves uninsured and low-income patients
Agape Clinic,Dallas,4104 Junius St Dallas TX 75246,General medical care,972-707-7782,https://www.theagapeclinic.org,Donation-based services
Brother Bill's Helping Hand Clinic,Dallas,3906 N Westmoreland Rd Dallas TX 75212,Primary care,214-638-2196,https://bbhh.org,Free and faith-based services
